origin,destination,lng_lat_distance,baidu_map_distance,duration,toll
贵阳,保山,772.6686708,1002.0239999999999,47829,568
贵阳,楚雄州,547.2779595,669.693,32504,391
贵阳,大理州,658.3073622000003,834.8589999999997,40858,475
贵阳,德宏州,851.0041641,1140.013,54110,660
贵阳,迪庆州,705.1107457,1136.498,56098,579
贵阳,红河州,494.328441,675.377,31988,384
贵阳,丽江,644.5997413,1017.2280000000001,47192,600
贵阳,临沧,732.5812742,1034.256,55486,445
贵阳,怒江州,788.2306687999999,1059.682,54627,547
贵阳,普洱,719.8953647999997,924.018,45812,538
贵阳,曲靖,317.6003184,379.793,19839,247
贵阳,昭通,306.4068763,399.699,17282,266
贵阳,文山,446.0475851,697.4019999999997,33066,438
贵阳,西双版纳,789.3913761,1043.099,51036,608
贵阳,玉溪,488.119558,599.347,29191,360
贵阳,杭州,1381.664123,1660.31,68379,758
贵阳,湖州,1392.003177,1663.8270000000002,68840,948
贵阳,嘉兴,1446.17327,1740.184,72050,977
贵阳,金华,1302.421635,1529.701,63140,714
贵阳,丽水,1319.922297,1622.487,67127,753
贵阳,宁波,1501.1448779999994,1760.4029999999998,72831,807
贵阳,衢州,1225.192682,1446.644,59706,677
贵阳,绍兴,1410.319606,1675.4979999999994,69122,768
贵阳,台州,1469.251976,1746.384,71888,813
贵阳,温州,1390.486941,1743.155,71951,831
贵阳,舟山,1560.213819,1833.308,75208,849
安顺,毕节地区,134.86085730000002,211.946,9799,149
安顺,六盘水,114.6639073,156.881,7660,98
安顺,铜仁地区,364.529633,420.48699999999997,19023,307
安顺,遵义,191.6503354,229.75799999999998,11502,125
安顺,黔西南州,162.95149630000003,220.15400000000002,11155,162
安顺,黔东南州,208.879059,272.073,13523,144
安顺,黔南州,159.291331,200.958,10120,126
安顺,海口,824.7226477999999,1107.46,49255,520
安顺,白沙,856.2747127,1299.275,60466,520
安顺,保亭,931.9084825,1336.3870000000004,60091,520
安顺,昌江,841.5963525000003,1297.27,57149,520
安顺,儋州,822.6625994,1230.9389999999999,56073,520
安顺,澄迈,838.3871948,1163.078,53039,520
安顺,东方,858.9917803999997,1345.442,61397,520
安顺,定安,874.7075154999999,1177.538,53696,520
安顺,琼海,906.2898326,1209.868,54500,520
安顺,琼中,896.3360708999999,1230.953,54624,520
安顺,乐东,902.1585981,1345.0439999999999,59106,520
安顺,临高,813.7432784,1183.047,53007,520
安顺,陵水,946.8472846,1324.9920000000004,59189,520
安顺,三亚,961.3239045,1377.869,61035,520
安顺,屯昌,875.4848372000001,1188.387,53117,520
安顺,万宁,936.7181774,1272.525,57561,520
安顺,文昌,875.6915554,1180.322,53866,520
安顺,五指山,902.2299969,1286.874,57269,520
安顺,石家庄,1543.432085,1901.28,78235,1044
安顺,保定,1668.327811,2028.527,82765,1088
安顺,沧州,1689.713866,2045.2060000000001,81978,1101
安顺,承德,1980.544264,2446.363,100841,1251
安顺,邯郸,1411.2353050000006,1737.194,71496,977
安顺,衡水,1576.737761,1899.263,77404,1052
安顺,廊坊,1786.750451,2146.192,86262,1148
安顺,秦皇岛,1984.580252,2405.526,96686,1270
安顺,唐山,1878.349752,2265.98,91282,1208
安顺,邢台,1454.225841,1789.086,73207,1000
安顺,张家口,1821.64421,2207.561,93456,1052
安顺,郑州,1203.133549,1506.1789999999999,62689,865
安顺,安阳,1360.195096,1722.059,70751,955
安顺,鹤壁,1326.359426,1633.924,67399,936
安顺,焦作,1220.077856,1593.986,68923,867
安顺,开封,1249.235022,1542.1229999999994,64121,882
安顺,洛阳,1127.073362,1500.753,66346,819
安顺,漯河,1131.7062970000004,1416.217,59278,831
安顺,南阳,989.3438179,1285.78,56335,753
安顺,平顶山,1097.198414,1375.0220000000006,57817,806
安顺,濮阳,1368.943817,1659.4479999999999,68307,955
安顺,三门峡,1076.898526,1362.335,59867,770
安顺,商丘,1304.886768,1608.844,65134,889
安顺,新乡,1265.650516,1574.805,65635,907
安顺,信阳,1028.889677,1316.3870000000004,56684,755
安顺,许昌,1153.740474,1460.45,60606,822
安顺,周口,1176.474477,1474.1760000000006,61034,859
安顺,驻马店,1086.964051,1367.757,57167,775
安顺,哈尔滨,2849.139981,3340.132,133673,1598
安顺,大庆,2824.082313,3375.045,133683,1696
安顺,大兴安岭地区,3252.654511,4166.27,167194,1907
安顺,鹤岗,3173.468606,3751.595,146809,1767
安顺,黑河,3246.764137,3917.6890000000003,151584,1862
安顺,鸡西,3077.533437,3700.975,146022,1848
安顺,佳木斯,3136.406432,3689.3740000000003,144076,1757
安顺,牡丹江,2944.606066,3539.6690000000012,140188,1776
安顺,七台河,3111.728737,3742.474,145973,1778
安顺,齐齐哈尔,2834.091921,3520.6859999999997,139245,1751
安顺,双鸭山,3179.196382,3889.6479999999997,154573,1856
安顺,绥化,2934.142632,3459.3759999999997,136677,1652
安顺,伊春,3123.158083,3672.8759999999997,143735,1749
安顺,武汉,953.1263803,1135.627,48488,671
安顺,鄂州,992.6985461000003,1189.438,49794,710
安顺,恩施,574.4935289,728.946,31506,469
安顺,黄冈,996.6330872,1198.627,50426,725
安顺,黄石,998.3411277,1171.205,49959,695
安顺,荆门,815.008533,1036.3139999999999,47598,659
安顺,荆州,769.0280343,967.9939999999999,43026,611
安顺,潜江,811.7584141,990.924,42564,616
安顺,神农架林区,744.3293695,1077.079,51567,601
安顺,十堰,855.3504353,1132.9360000000001,51986,641
安顺,随州,948.1589354,1183.476,49676,694
安顺,天门,859.0502856,1042.04,43845,641
安顺,仙桃,859.7221252,1054.72,44709,644
安顺,咸宁,917.0581158,1073.5639999999999,45764,648
安顺,襄阳,891.4293862,1171.935,51110,705
安顺,孝感,941.0303916,1169.89,49626,696
安顺,宜昌,726.9688973,962.025,44546,627
安顺,长沙,731.9819819,894.27,39253,539
安顺,常德,644.013415,739.038,32718,473
安顺,郴州,712.9319407,888.435,38391,585
安顺,衡阳,666.7818196000002,830.302,37078,428
安顺,怀化,429.2140183,531.844,25013,282
安顺,娄底,624.9740103999999,795.72,36044,423
安顺,邵阳,561.3996346,703.168,32307,376
安顺,湘潭,717.3496287,885.8510000000001,40313,443
安顺,湘西州,443.53922580000005,511.033,22947,354
安顺,益阳,688.1968026000003,814.738,35294,507
安顺,永州,567.7451487000002,755.232,33818,500
安顺,岳阳,792.2626642000001,933.2280000000001,40260,566
安顺,张家界,552.5790686,680.5319999999998,30136,474
安顺,株洲,736.0090532,913.579,40582,454
安顺,南京,1406.311777,1675.514,72270,939
安顺,常州,1499.301456,1791.852,75808,995
安顺,淮安,1505.4761640000006,1827.376,75494,965
安顺,连云港,1574.149301,1959.475,78095,1017
安顺,南通,1587.752836,1896.226,79097,1005
安顺,苏州,1539.742127,1848.181,76269,1021
安顺,宿迁,1467.2187310000006,1807.864,73349,990
安顺,泰州,1523.437426,1800.5420000000001,75155,963
安顺,无锡,1520.412161,1828.9460000000001,76914,1000
安顺,徐州,1403.265262,1765.3120000000001,71449,955
安顺,盐城,1585.355744,1923.2420000000002,80535,1026
安顺,扬州,1478.148341,1753.983,74851,960
安顺,镇江,1471.3817800000006,1758.0510000000006,75550,959
安顺,南昌,1021.375585,1244.914,52687,604
安顺,抚州,1051.27226,1254.155,52153,611
安顺,赣州,901.7883455,1106.225,46886,748
安顺,吉安,906.7813997000003,1121.674,48542,561
安顺,景德镇,1159.982149,1389.744,57037,831
安顺,九江,1063.173416,1250.702,52642,759
安顺,萍乡,802.5278332,992.675,43656,491
安顺,上饶,1214.297825,1428.217,58506,689
安顺,新余,911.5336299,1100.486,47080,540
安顺,宜春,858.2057532,1041.672,45329,511
安顺,鹰潭,1121.515343,1333.886,55261,645
安顺,长春,2630.097722,3093.8509999999997,123330,1571
安顺,白城,2630.818365,3244.374000000001,127923,1555
安顺,白山,2563.243391,3177.586,127252,1595
安顺,吉林市,2704.042877,3193.9570000000012,126380,1619
安顺,辽源,2547.4834,3021.4240000000004,120425,1543
安顺,四平,2520.909435,2986.137,118753,1528
安顺,松原,2697.207449,3252.76,129284,1626
安顺,通化,2516.52427,3055.3379999999997,122466,1557
安顺,延边,2829.298643,3449.895,136442,1674
安顺,沈阳,2360.498032,2800.328,111997,1440
安顺,鞍山,2283.053221,2833.653,113140,1439
