起始城市,目标城市,时间,费用
上海,九江,27435,309
上海,新余,35400,367
上海,鹰潭,27826,255
上海,赣州,44204,451
上海,吉安,37713,380
上海,宜春,37584,392
上海,抚州,30584,292
上海,上饶,23880,211
上海,兰州,91173,863
上海,嘉峪关,115401,1095
上海,金昌,101430,969
上海,白银,92591,882
上海,天水,80412,809
上海,武威,98319,933
上海,张掖,106696,1015
上海,平凉,76232,746
上海,酒泉,114299,1089
上海,庆阳,73258,730
上海,定西,86387,839
上海,陇南,83126,963
上海,临夏州,92098,937
上海,甘南州,96146,987
上海,广州,60180,653
上海,韶关,52358,564
上海,深圳,63935,571
上海,珠海,72987,659
上海,汕头,55772,644
上海,佛山,61591,668
上海,江门,63429,699
上海,湛江,79127,719
上海,茂名,75651,719
上海,肇庆,62675,699
上海,惠州,58529,545
上海,梅州,47811,496
上海,汕尾,58244,603
上海,河源,53219,546
上海,阳江,71036,713
上海,清远,59369,641
上海,东莞,62331,591
上海,中山,70071,642
上海,潮州,53276,591
上海,揭阳,53082,541
上海,云浮,63683,726
上海,南宁,76422,770
上海,柳州,67995,661
上海,桂林,62280,597
上海,梧州,68146,751
上海,北海,81489,881
上海,防城港,82399,832
上海,钦州,78355,811
上海,贵港,74003,749
上海,玉林,73525,855
上海,百色,82812,883
上海,贺州,63658,718
上海,河池,73493,733
上海,来宾,69716,690
上海,崇左,80936,840
上海,贵阳,74907,1009
上海,六盘水,84737,1167
上海,遵义,74417,981
上海,安顺,79838,1069
上海,黔西南州,88344,1231
上海,黔东南州,70894,754
上海,海口,88182,770
上海,三亚,98525,770
上海,五指山,96167,770
上海,琼海,92793,770
上海,儋州,94914,770
上海,文昌,92570,770
上海,万宁,95920,770
上海,东方,100272,770
上海,定安,92191,770
上海,屯昌,91699,770
上海,澄迈,91864,770
上海,临高,91828,770
上海,白沙,99424,770
上海,昌江,95877,770
上海,乐东,97840,770
上海,陵水,97809,770
上海,保亭,98926,770
上海,琼中,93474,770
上海,石家庄,52691,523
上海,唐山,54620,491
上海,秦皇岛,57482,447
上海,邯郸,49494,361
上海,邢台,50715,384
上海,保定,55139,544
上海,张家口,66618,557
上海,承德,60323,476
上海,沧州,49185,481
上海,廊坊,50538,466
上海,衡水,50798,490
上海,郑州,42238,380
上海,开封,39976,283
上海,洛阳,46711,429
上海,平顶山,42802,359
上海,安阳,47634,328
上海,鹤壁,45032,381
